Index,Name,Year,Location,Citation,ACM Fellow Profile,Google Scholar Profile,Affiliation,Interests
218,Wei Wang ,2020,USA,For contributions to the foundation and practice of data mining,https://awards.acm.org/award-recipients/wang_7192664,https://scholar.google.com/citations?user=JFrpRBIAAAAJ,"University of California, Riverside",Energy storage energy conversion supercapacitors lithium ion batteries nanotechnology
219,Whitfield Diffie ,2020,USA,For the invention of asymmetric public-key cryptography and the promulgation of a practical cryptographic key-exchange method,https://awards.acm.org/award-recipients/diffie_8371646,,,[]
220,Xuelong LI,2020,China,For contributions to computing on and learning from higher-order data,https://awards.acm.org/award-recipients/li_3165359,https://scholar.google.com/citations?user=ahUibskAAAAJ,"Professor, Northwestern Polytechnical University, China",image/signal processing imaging applied maths/physics
221,Yiran Chen,2020,USA,For contributions to nonvolatile memory technologies,https://awards.acm.org/award-recipients/chen_9508444,https://scholar.google.com/citations?user=3G-nnjMAAAAJ,"Professor, Electrical and Computer Engineering, Duke University",Memory neuromorphic machine learning acceleration federated learning
222,Yufei Tao,2020,Hong Kong,For contributions to algorithms for large scale data processing,https://awards.acm.org/award-recipients/tao_0950279,https://scholar.google.com/citations?user=3FmJBHkAAAAJ,Chinese University of Hong Kong,Small-and-Sweet Algorithms
223,prof.dr.ir. Wil Van Der Aalst,2020,Germany,"For contributions to process mining, process management, and data science",https://awards.acm.org/award-recipients/vanderaalst_5194599,,,[]
224,Bradley G Calder ,2019,USA,"For contributions to cloud storage; processor simulation, replay, and feedback-directed optimization of systems and applications",https://awards.acm.org/award-recipients/calder_4123469,,,[]
225,Carlo A. Zaniolo,2019,USA,For contributions to the theory and practice of data and knowledge-base systems,https://awards.acm.org/award-recipients/zaniolo_1278936,,,[]
226,Christian Cachin,2019,Switzerland,For contributions to secure distributed computing and cryptographic protocols,https://awards.acm.org/award-recipients/cachin_4033205,https://scholar.google.com/citations?user=c8zferMAAAAJ,"University of Bern, Cryptology and Data Security Group",cryptography distributed systems security
227,Claire Cardie,2019,USA,"For contributions to natural language processing, including coreference resolution,  information and opinion extraction",https://awards.acm.org/award-recipients/cardie_4215893,https://scholar.google.com/citations?user=ex9BQiIAAAAJ,"Professor of Computer Science, Cornell University",natural language processing information extraction opinion extraction argument mining
228,Darrell Whitley,2019,USA,For technical and professional leadership in the field of genetic and evolutionary computation,https://awards.acm.org/award-recipients/whitley_0163816,https://scholar.google.com/citations?user=0VzUxIcAAAAJ,"Professor of Computer Science,  Colorado State University",Artificial Intelligence Local Search Evolutionary Computation Neural Networks
