name,affiliation,homepage,scholarid,orcid,dblp_profile
Holger H. Hoos,RWTH Aachen University,http://hoos.ca,l6c85tMAAAAJ,0000-0003-0629-0099,https://dblp.org/pers/hd/h/Hoos:Holger_H%3D
Holly E. Rushmeier,Yale University,http://graphics.cs.yale.edu/holly,saY3qN5NWbcC,0000-0001-5241-0886,https://dblp.org/pers/hd/r/Rushmeier:Holly_E%3D
Hong Mei 0001,Peking University,http://sei.pku.edu.cn/~meih/index_en.html,b-ZYIwoAAAAJ,0000-0003-2380-3976,https://dblp.org/pers/hd/m/Mei_0001:Hong
Huan Liu 0001,Arizona State University,http://www.public.asu.edu/~huanliu,Dzf46C8AAAAJ,0000-0002-3264-7904,https://dblp.org/pers/hd/l/Liu_0001:Huan
Hui Xiong 0001,HKUST,https://www.hkust-gz.edu.cn/people/hui-xiong,cVDF1tkAAAAJ,0000-0001-6016-6465,https://dblp.org/pers/hd/x/Xiong_0001:Hui
Ian Goldberg 0001,University of Waterloo,https://cs.uwaterloo.ca/~iang,NOSCHOLARPAGE,0000-0002-1176-2882,https://dblp.org/pers/hd/g/Goldberg_0001:Ian
Ian H. Witten,University of Waikato,http://www.cs.waikato.ac.nz/~ihw,BSFdGw0AAAAJ,0000-0001-6428-8988,https://dblp.org/pers/hd/w/Witten:Ian_H%3D
Ian Munro 0001,University of Waterloo,https://cs.uwaterloo.ca/~imunro,O55rM6QAAAAJ,0000-0002-7165-7988,https://dblp.org/pers/hd/m/Munro_0001:Ian
Ian T. Foster,University of Chicago,https://computerscience.uchicago.edu/people/ian-foster,VGoSakQAAAAJ,0000-0003-2129-5269,https://dblp.org/pers/hd/f/Foster:Ian_T%3D
Ihab F. Ilyas,University of Waterloo,https://cs.uwaterloo.ca/~ilyas,YG6mTEIAAAAJ,0000-0001-9052-9714,https://dblp.org/pers/hd/i/Ilyas:Ihab_F%3D
Ingemar J. Cox,University College London,http://mediafutures.cs.ucl.ac.uk/people/IngemarCox,b88nUpYAAAAJ,0000-0002-6662-417X,https://dblp.org/pers/hd/c/Cox:Ingemar_J%3D
Insup Lee 0001,University of Pennsylvania,http://www.cis.upenn.edu/~lee,kBGGEjUAAAAJ,0000-0003-2672-1132,https://dblp.org/pers/hd/l/Lee_0001:Insup
Ion Stoica,Univ. of California - Berkeley,http://www.cs.berkeley.edu/~istoica,vN-is70AAAAJ,0000-0002-5373-0088,https://dblp.org/pers/hd/s/Stoica:Ion
Irwin King,Chinese University of Hong Kong,https://www.cse.cuhk.edu.hk/irwin.king,MXvC7tkAAAAJ,0000-0001-8106-6447,https://dblp.org/pers/hd/k/King:Irwin
J. Gregory Morrisett [Tech],Cornell University,http://www.cs.cornell.edu/~jgm,Dswus94AAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/m/Morrisett:J%3D_Gregory
J. J. Garcia-Luna-Aceves,Univ. of California - Santa Cruz,https://www.soe.ucsc.edu/people/jj,wLtmXGQAAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/g/Garcia=Luna=Aceves:J%3D_J%3D
Jack Dongarra,University of Tennessee,http://www.netlib.org/utk/people/JackDongarra,X4SbSTAAAAAJ,0000-0003-3247-1782,https://dblp.org/pers/hd/d/Dongarra:Jack
Jack W. Davidson,University of Virginia,https://engineering.virginia.edu/faculty/jack-w-davidson,n7YuWIAAAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/d/Davidson:Jack_W%3D
Jacob O. Wobbrock,University of Washington,http://faculty.washington.edu/wobbrock,TmZ3howAAAAJ,0000-0003-3675-5491,https://dblp.org/pers/hd/w/Wobbrock:Jacob_O%3D
James A. Hendler,Rensselaer Polytechnic Institute,http://www.cs.rpi.edu/~hendler,JNPbTdIAAAAJ,0000-0003-3056-1960,https://dblp.org/pers/hd/h/Hendler:James_A%3D
James A. Landay,Stanford University,https://profiles.stanford.edu/james-landay,oQsObk0AAAAJ,0000-0003-1520-8894,https://dblp.org/pers/hd/l/Landay:James_A%3D
James Allan 0001,Univ. of Massachusetts Amherst,https://ciir.cs.umass.edu/~allan,-bLGeg0AAAAJ,0000-0003-0132-5694,https://dblp.org/pers/hd/a/Allan_0001:James
James H. Anderson,University of North Carolina,http://jamesanderson.web.unc.edu,mIZu9oQAAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/a/Anderson:James_H%3D
James H. Morris,Carnegie Mellon University,http://www.cs.cmu.edu/~jhm,Y9cRdbIAAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/m/Morris:James_H%3D
Jason Cong,Univ. of California - Los Angeles,http://vast.cs.ucla.edu/people/faculty/jason-cong,UVGe0gQAAAAJ,0000-0003-2887-6963,https://dblp.org/pers/hd/c/Cong:Jason
Jason I. Hong,Carnegie Mellon University,http://www.cs.cmu.edu/~jasonh,MoFbcc0AAAAJ,0000-0002-9856-9654,https://dblp.org/pers/hd/h/Hong:Jason_I%3D
Jason Nieh,Columbia University,https://www.cs.columbia.edu/~nieh,UGrnqBUAAAAJ,0009-0005-8301-4479,https://dblp.org/pers/hd/n/Nieh:Jason
Javier Esparza,TU Munich,https://www7.in.tum.de/people/detail/index.php?id=people.detail&arg=33,c9qgPSYAAAAJ,0000-0001-9862-4919,https://dblp.org/pers/hd/e/Esparza:Javier
Jayant R. Haritsa,IISc Bangalore,http://dsl.cds.iisc.ac.in/~haritsa,dc626ewAAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/h/Haritsa:Jayant_R%3D
Jean-Pierre Hubaux,EPFL,https://people.epfl.ch/jean-pierre.hubaux,W7YBLlEAAAAJ,0000-0003-1533-6132,https://dblp.org/pers/hd/h/Hubaux:Jean%3DPierre
Jeffrey Kramer,Imperial College London,http://wp.doc.ic.ac.uk/jk,t-fuDjMAAAAJ,0000-0002-6308-127X,https://dblp.org/pers/hd/k/Kramer:Jeffrey
Jeffrey Michael Heer,University of Washington,http://homes.cs.washington.edu/~jheer,vlgs4G4AAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/h/Heer:Jeffrey_Michael
Jeffrey S. Foster,Tufts University,http://www.cs.umd.edu/~jfoster,QWPwfsgAAAAJ,0000-0001-8043-1166,https://dblp.org/pers/hd/f/Foster:Jeffrey_S%3D
Jeffrey S. Rosenschein,Hebrew University of Jerusalem,http://www.cs.huji.ac.il/~jeff,YO7cKNMAAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/r/Rosenschein:Jeffrey_S%3D
Jennifer Rexford,Princeton University,http://www.cs.princeton.edu/~jrex,07ds-DAAAAAJ,0000-0002-0231-8165,https://dblp.org/pers/hd/r/Rexford:Jennifer
Jennifer T. Chayes,Univ. of California - Berkeley,http://jenniferchayes.com,YAHWbtkAAAAJ,0000-0003-4020-8618,https://dblp.org/pers/hd/c/Chayes:Jennifer_T%3D
Jennifer Widom,Stanford University,http://infolab.stanford.edu/~widom,zdKmnYwAAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/w/Widom:Jennifer
Jessica K. Hodgins,Carnegie Mellon University,http://www.cs.cmu.edu/~jkh,NOSCHOLARPAGE,0000-0002-1778-883X,https://dblp.org/pers/hd/h/Hodgins:Jessica_K%3D
Jian Ma 0004,Carnegie Mellon University,http://www.cs.cmu.edu/~jianma,kDZcBhkAAAAJ,0000-0002-4202-5834,https://dblp.org/pers/hd/m/Ma_0004:Jian
